CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C17174,528.023703,1.0,770.05,109.4,660.65,286.123717,0.916667,0.083333,0.833333,0.083333,5,23,1500.0,748.204441,170.319835,0.0,12
C17585,4925.078801,1.0,194.6,194.6,0.0,2746.434556,0.333333,0.333333,0.0,0.416667,8,4,9000.0,5149.230429,1825.521318,0.0,12
C10466,1036.595935,1.0,0.0,0.0,0.0,193.738137,0.0,0.0,0.0,0.083333,1,0,1200.0,274.653536,327.072615,0.0,12
C18457,691.181508,1.0,439.92,0.0,439.92,0.0,1.0,0.0,1.0,0.0,0,12,1000.0,162.995562,328.466313,0.0,12
C11853,16.005542,0.272727,151.33,151.33,0.0,0.0,0.166667,0.166667,0.0,0.0,0,3,5000.0,450.83685,132.752406,0.5,12
C13200,7.954284,0.272727,56.0,56.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,10500.0,312.280331,82.975613,0.0,12
C18743,17.832206,0.545455,153.6,0.0,153.6,0.0,0.416667,0.0,0.416667,0.0,0,5,1000.0,207.376053,86.953988,0.363636,12
C15313,2002.429291,1.0,3500.03,1814.42,1685.61,0.0,1.0,0.666667,1.0,0.0,0,129,6000.0,1619.62737,537.587864,0.0,12
C18400,763.228081,0.9,0.0,0.0,0.0,1948.071903,0.0,0.0,0.0,0.5,48,0,1200.0,1223.745197,263.756386,0.125,10
C12898,302.142293,1.0,3612.24,3340.05,272.19,0.0,1.0,1.0,0.083333,0.0,0,35,10500.0,2866.24778,192.523653,1.0,12
C17778,434.393219,1.0,343.5,343.5,0.0,949.910781,0.166667,0.166667,0.0,0.166667,5,2,1700.0,504.635307,168.986753,0.0,12
C13606,98.418953,0.555556,0.0,0.0,0.0,2327.566908,0.0,0.0,0.0,0.444444,15,0,1500.0,2535.544366,62.281239,0.25,9
C11581,6.576315,0.272727,74.49,0.0,74.49,0.0,0.25,0.0,0.166667,0.0,0,3,4000.0,45.19561,42.397448,0.166667,12
C14681,2124.826298,1.0,967.61,397.61,570.0,581.6512,0.833333,0.166667,0.75,0.25,3,12,5000.0,1778.725826,477.542826,0.0,12
C13659,896.619803,1.0,128.86,0.0,128.86,0.0,0.166667,0.0,0.166667,0.0,0,2,1200.0,1606.846759,927.291416,0.0,12
C17209,49.269195,1.0,213.75,0.0,213.75,0.0,0.75,0.0,0.666667,0.0,0,9,2500.0,196.765989,206.997029,0.0,12
C16481,1178.607275,1.0,1014.36,322.69,691.67,0.0,1.0,0.416667,0.75,0.0,0,39,1200.0,1250.42369,620.326049,0.0,12
C13435,1861.43505,1.0,247.45,0.0,247.45,3760.827918,0.583333,0.0,0.5,0.083333,10,7,4000.0,903.972319,716.103395,0.083333,12
C18491,468.022403,1.0,488.93,236.13,252.8,132.146931,0.833333,0.333333,0.75,0.25,6,14,1000.0,722.96482,163.678643,0.0,12
C11863,1611.475175,1.0,807.72,0.0,807.72,0.0,1.0,0.0,1.0,0.0,0,36,1500.0,1019.454819,2134.562981,0.0,12
C11338,3950.9879,1.0,699.44,699.44,0.0,444.077396,1.0,1.0,0.0,0.166667,3,13,4000.0,994.405792,1817.698864,0.0,12
C15067,62.104602,0.636364,377.62,0.0,377.62,0.0,0.5,0.0,0.5,0.0,0,6,2500.0,548.900318,99.168927,0.181818,12
C17574,328.436912,0.727273,2738.82,2408.82,330.0,0.0,0.583333,0.333333,0.333333,0.0,0,31,1000.0,2339.534377,364.97283,0.5,12
C12091,2583.717108,1.0,1497.02,1497.02,0.0,1112.647386,0.75,0.75,0.0,0.25,5,14,4000.0,475.066734,848.769861,0.0,12
C17568,4135.663046,1.0,0.0,0.0,0.0,3168.34945,0.0,0.0,0.0,0.5,22,0,4500.0,1360.105727,1434.932593,0.0,12
C14495,1496.580949,1.0,0.0,0.0,0.0,183.230915,0.0,0.0,0.0,0.166667,3,0,1600.0,502.200633,1223.070301,0.0,12
C15358,470.593325,1.0,6743.31,6182.78,560.53,0.0,1.0,1.0,0.666667,0.0,0,122,3200.0,4369.008441,222.118023,0.666667,12
C17792,411.27629,1.0,1524.65,1153.52,371.13,0.0,1.0,0.583333,1.0,0.0,0,51,900.0,626.104114,236.645745,0.083333,12
C13193,6369.895861,1.0,335.68,0.0,335.68,2607.530791,0.666667,0.0,0.583333,0.5,7,8,9000.0,1592.064294,1497.715051,0.0,12
C14011,580.175457,1.0,759.5,85.0,674.5,995.015703,0.833333,0.166667,0.75,0.333333,5,24,4000.0,1194.432152,1174.266863,0.083333,12
C12654,7543.580736,1.0,0.0,0.0,0.0,2925.55754,0.0,0.0,0.0,0.083333,9,0,8500.0,1738.415018,1785.269757,0.0,12
C12553,3.847042,0.5,182.08,0.0,182.08,0.0,1.0,0.0,0.875,0.0,0,8,1500.0,191.067061,54.734326,0.5,8
C12071,3168.902659,0.857143,0.0,0.0,0.0,3854.441191,0.0,0.0,0.0,0.285714,6,0,4200.0,390.289118,935.43069,0.0,7
C11416,73.507271,1.0,890.45,890.45,0.0,0.0,1.0,1.0,0.0,0.0,0,17,8500.0,999.607298,171.602356,0.363636,12
C12111,193.207812,1.0,1937.7,1937.7,0.0,0.0,1.0,1.0,0.0,0.0,0,30,2000.0,2100.802868,169.00964,0.916667,12
C15625,2306.698723,0.727273,12784.51,11246.07,1538.44,191.652876,0.666667,0.666667,0.333333,0.083333,1,68,6200.0,13705.00441,1310.291574,0.0,12
C12411,3860.238072,1.0,11.41,11.41,0.0,0.0,0.166667,0.166667,0.0,0.0,0,2,10000.0,7280.584479,1013.780486,0.083333,12
C13638,149.139346,1.0,1415.42,182.0,1233.42,0.0,1.0,0.083333,1.0,0.0,0,26,6000.0,1186.629453,163.029483,0.916667,12
C10958,55.741802,0.818182,963.35,300.0,663.35,0.0,0.75,0.083333,0.583333,0.0,0,11,14000.0,1062.303105,142.613239,0.7,12
C13142,84.783684,1.0,203.6,0.0,203.6,0.0,0.666667,0.0,0.666667,0.0,0,8,1500.0,206.472169,166.325041,0.0,12
C15409,894.357857,1.0,1164.0,0.0,1164.0,0.0,1.0,0.0,1.0,0.0,0,12,2000.0,907.603723,270.413449,0.0,12
C10282,3905.365959,1.0,150.8,150.8,0.0,1659.19931,0.166667,0.166667,0.0,0.416667,5,2,7500.0,990.524408,989.783286,0.0,12
C18542,7.258112,0.272727,57.0,57.0,0.0,0.0,0.090909,0.090909,0.0,0.0,0,1,1500.0,294.679399,79.49349,0.0,11
C13434,3592.56906,1.0,0.0,0.0,0.0,1286.356207,0.0,0.0,0.0,0.333333,5,0,4500.0,820.438917,1048.73584,0.0,12
C14265,655.712971,1.0,264.35,202.8,61.55,0.0,0.333333,0.083333,0.166667,0.0,0,6,1500.0,180.129661,295.417192,0.0,12
C10847,1399.729932,1.0,0.0,0.0,0.0,1967.782148,0.0,0.0,0.0,0.333333,5,0,3000.0,712.803089,316.461916,0.0,12
C10805,3879.064446,1.0,9796.28,9536.28,260.0,1959.013493,1.0,0.833333,0.583333,0.166667,2,45,19000.0,12667.90527,968.363741,0.333333,12
C14978,95.731707,1.0,632.3,200.0,432.3,0.0,0.916667,0.083333,0.916667,0.0,0,12,2000.0,606.576346,173.221204,0.5,12
C15778,29.929842,0.272727,259.59,0.0,259.59,0.0,0.166667,0.0,0.166667,0.0,0,3,2500.0,682.334296,175.624776,1.0,12
C12634,195.575108,1.0,2984.34,2754.92,229.42,0.0,1.0,1.0,0.416667,0.0,0,28,14500.0,1885.940209,196.257674,1.0,12
C11602,2945.285382,1.0,185.98,55.0,130.98,0.0,0.416667,0.083333,0.333333,0.0,0,9,3000.0,1009.97564,1102.79511,0.0,12
C13805,28.909122,1.0,177.05,0.0,177.05,0.0,0.5,0.0,0.333333,0.0,0,5,1200.0,165.005267,88.205007,0.0,6
C11242,177.355165,0.909091,1179.3,997.3,182.0,0.0,0.75,0.5,0.416667,0.0,0,13,7500.0,815.01939,175.485133,0.714286,12
C17424,231.593057,1.0,2123.43,0.0,2123.43,424.95317,0.583333,0.0,0.583333,0.083333,1,7,7500.0,2812.54066,2399.605979,0.166667,12
C14738,2270.22733,1.0,0.0,0.0,0.0,159.189426,0.0,0.0,0.0,0.083333,1,0,2400.0,495.667079,974.797056,0.0,12
C12720,6384.360491,1.0,1856.84,1394.21,462.63,2144.180453,0.333333,0.333333,0.166667,0.75,26,19,7500.0,2275.686606,1485.827109,0.0,12
C10882,11083.32542,1.0,2126.7,2026.7,100.0,1622.219455,0.5,0.25,0.416667,0.5,7,10,15000.0,2494.033369,2642.937347,0.0,12
C14073,3.141961,0.181818,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,5500.0,656.045331,120.437462,1.0,12
C18931,699.712899,1.0,0.0,0.0,0.0,1244.774872,0.0,0.0,0.0,0.166667,31,0,1500.0,1619.875345,2807.621139,0.090909,12
C14714,149.59894,1.0,2009.64,206.0,1803.64,0.0,1.0,0.083333,1.0,0.0,0,23,16500.0,1886.871621,150.495102,0.636364,12
C16787,38.342505,0.454545,134.28,134.28,0.0,0.0,0.083333,0.083333,0.0,0.0,0,3,6000.0,361.809474,73.633343,0.181818,12
C16858,1016.712614,1.0,0.0,0.0,0.0,128.829302,0.0,0.0,0.0,0.083333,2,0,4000.0,430.136625,331.868318,0.0,12
C11820,4603.402061,1.0,0.0,0.0,0.0,7665.092756,0.0,0.0,0.0,0.916667,21,0,14000.0,9874.465723,1168.006176,0.083333,12
C19035,1478.089943,0.8,245.01,245.01,0.0,4377.526126,0.1,0.1,0.0,0.6,22,1,2500.0,3168.779374,966.611926,0.0,10
C12263,3677.471434,1.0,1.0,1.0,0.0,859.297788,0.083333,0.083333,0.0,0.083333,2,1,7000.0,944.992262,947.691932,0.0,12
C17089,1460.077343,0.9,79.8,79.8,0.0,3494.069968,0.1,0.1,0.0,0.6,16,1,2500.0,1967.368185,518.663889,0.0,10
C16177,2112.383095,1.0,0.0,0.0,0.0,1437.963388,0.0,0.0,0.0,0.25,5,0,2500.0,763.38027,705.382787,0.0,12
C16988,665.285049,1.0,0.0,0.0,0.0,18.766426,0.0,0.0,0.0,0.083333,1,0,700.0,45.650296,3087.338813,0.0,12
C18203,3542.074874,1.0,884.98,0.0,884.98,4547.294728,1.0,0.0,0.833333,0.5,5,14,5000.0,958.998587,1081.645567,0.0,6
C10305,41.833264,1.0,456.36,0.0,456.36,0.0,1.0,0.0,0.916667,0.0,0,14,6000.0,370.996177,163.287618,0.333333,12
C10796,9470.18498,1.0,49.19,0.0,49.19,4078.303778,0.416667,0.0,0.416667,0.25,6,5,12000.0,2230.957196,2672.605531,0.0,12
C18627,1355.437063,1.0,0.0,0.0,0.0,407.884977,0.0,0.0,0.0,0.25,6,0,1500.0,642.558759,412.70964,0.0,12
C17858,21.87058,0.636364,405.0,255.0,150.0,0.0,0.333333,0.083333,0.25,0.0,0,7,4000.0,414.423817,88.853589,0.0,12
C16628,2990.370585,1.0,1368.0,208.0,1160.0,1436.238238,1.0,0.083333,1.0,0.583333,14,22,8000.0,1680.74827,791.063136,0.0,12
C16832,109.697529,1.0,1530.37,1530.37,0.0,0.0,1.0,1.0,0.0,0.0,0,12,1200.0,1681.146226,125.221028,0.111111,12
C11095,1005.332554,1.0,0.0,0.0,0.0,19.503826,0.0,0.0,0.0,0.083333,1,0,1200.0,347.446739,425.777184,0.0,12
C17441,290.079966,1.0,550.93,0.0,550.93,0.0,0.583333,0.0,0.583333,0.0,0,17,4000.0,579.825344,454.611106,0.0,12
C18983,983.520793,0.888889,554.1,554.1,0.0,758.43644,0.333333,0.333333,0.0,0.333333,5,5,1200.0,376.440358,264.464403,0.0,9
C14477,331.503219,1.0,332.74,0.0,332.74,0.0,0.545455,0.0,0.454545,0.0,0,10,2500.0,399.729843,173.571302,0.0,11
C12432,906.107168,1.0,2354.06,215.87,2138.19,0.0,1.0,0.333333,1.0,0.0,0,51,4000.0,2230.320729,224.547489,0.0,12
C17540,201.487515,1.0,1688.12,0.0,1688.12,0.0,1.0,0.0,1.0,0.0,0,12,4000.0,1641.148627,174.408798,1.0,12
C10519,1556.376158,1.0,0.0,0.0,0.0,655.037683,0.0,0.0,0.0,0.583333,16,0,1700.0,1076.722225,1206.741644,0.0,12
C15186,1190.800122,1.0,1864.79,1002.22,862.57,0.0,0.916667,0.666667,0.75,0.0,0,51,3000.0,1617.884909,255.931146,0.0,12
C11103,4069.525304,1.0,259.84,211.51,48.33,1731.958401,0.166667,0.166667,0.083333,0.25,12,4,7500.0,1105.027682,1586.594493,0.0,12
C12459,126.289657,0.909091,366.68,0.0,366.68,175.284005,0.333333,0.0,0.333333,0.166667,2,4,3000.0,679.431948,126.692506,0.181818,12
C15853,845.930093,1.0,2384.15,1206.43,1177.72,1950.164327,1.0,0.916667,0.833333,0.083333,2,62,2500.0,4029.993964,232.49717,0.272727,12
C16866,3381.942128,1.0,0.0,0.0,0.0,2018.855558,0.0,0.0,0.0,0.5,18,0,4500.0,963.106808,908.849744,0.0,12
C13944,680.671377,1.0,8040.78,2946.69,5094.09,0.0,1.0,0.666667,1.0,0.0,0,66,7000.0,6331.737868,194.172362,0.833333,12
C10130,14224.11541,1.0,0.0,0.0,0.0,4614.427403,0.0,0.0,0.0,0.333333,9,0,19000.0,3066.614272,3406.258999,0.0,12
C19075,191.37693,1.0,510.0,0.0,780.0,0.0,0.555556,0.0,0.444444,0.0,0,7,1000.0,459.17484,128.231992,0.0,9
C16437,2392.299552,1.0,0.0,0.0,0.0,118.3391,0.0,0.0,0.0,0.333333,4,0,3200.0,602.769462,565.639938,0.0,12
C18229,2162.267501,1.0,151.13,151.13,0.0,1005.55853,0.166667,0.166667,0.0,0.166667,3,3,2500.0,466.376831,619.460541,0.0,12
C10911,1843.308668,1.0,89.66,89.66,0.0,126.156551,0.2,0.2,0.0,0.6,6,5,2000.0,375.878055,397.759846,0.0,10
C16138,4230.023512,1.0,5755.93,3854.62,1901.31,0.0,1.0,0.833333,0.833333,0.0,0,66,10000.0,3848.416129,925.359254,0.0,12
C12013,3666.676179,1.0,0.0,0.0,0.0,2461.891684,0.0,0.0,0.0,0.583333,19,0,4000.0,674.881553,1362.230185,0.0,12
C15501,2891.678357,0.454545,0.0,0.0,0.0,7981.152983,0.0,0.0,0.0,0.083333,4,0,10000.0,1379.83404,1840.913723,0.0,12
C18598,1087.427214,0.636364,0.0,0.0,0.0,1916.600175,0.0,0.0,0.0,0.083333,1,0,3000.0,341.431225,623.084326,0.0,12
C15508,3093.592745,1.0,47.69,82.41,0.0,1438.951061,0.166667,0.083333,0.0,0.583333,15,1,4100.0,4591.237633,723.343619,0.0,12
C12830,766.261051,1.0,1462.73,1100.23,362.5,0.0,0.666667,0.5,0.416667,0.0,0,26,6000.0,202.561336,195.306688,0.0,12
C18757,7.054474,0.818182,427.98,0.0,427.98,0.0,1.0,0.0,0.916667,0.0,0,18,1500.0,402.34297,17.773542,0.111111,12
C12309,1156.813935,1.0,251.38,101.28,150.1,506.605228,0.909091,0.181818,0.909091,0.181818,3,12,7500.0,2853.276447,367.503207,0.181818,11
C10728,1546.216153,0.833333,0.0,0.0,0.0,2196.107878,0.0,0.0,0.0,0.166667,5,0,3000.0,247.706733,310.58347,0.0,6
C10876,2315.003636,1.0,0.0,0.0,0.0,3253.033658,0.0,0.0,0.0,0.666667,27,0,3000.0,2467.952091,986.843214,0.0,12
C15938,983.363407,1.0,275.06,0.0,275.06,0.0,0.5,0.0,0.5,0.0,0,6,1000.0,587.715737,316.239935,0.0,12
C12535,1848.248809,1.0,307.12,307.12,0.0,0.0,0.083333,0.083333,0.0,0.0,0,2,8500.0,3421.846931,470.192366,0.0,12
C16081,1694.655764,1.0,0.0,0.0,0.0,58.373936,0.0,0.0,0.0,0.166667,2,0,1700.0,258.425485,4454.428552,0.0,12
C12547,6443.077147,0.909091,2155.13,1325.34,829.79,1650.039631,1.0,0.583333,1.0,0.416667,17,75,7500.0,9689.602075,3163.402977,0.0,12
C18260,11.720573,0.727273,109.44,0.0,109.44,0.0,0.666667,0.0,0.666667,0.0,0,8,2500.0,149.743686,106.73778,0.2,12
C15277,5772.250286,1.0,255.25,150.0,105.25,2969.93596,0.25,0.083333,0.166667,0.5,20,4,6500.0,1385.482263,1378.644403,0.0,12
C13493,1518.339584,1.0,1435.79,762.12,673.67,0.0,0.916667,0.333333,0.75,0.0,0,27,1500.0,1075.686261,1136.154471,0.0,12
C10789,23.276656,0.636364,796.56,0.0,796.56,0.0,1.0,0.0,1.0,0.0,0,13,4000.0,912.478311,102.895907,0.636364,12
C14587,24.831137,0.636364,1909.13,30.0,1879.13,0.0,0.916667,0.083333,0.833333,0.0,0,12,2000.0,1831.935279,21.095616,0.0,12
C13203,1950.956894,0.833333,0.0,0.0,0.0,2844.307484,0.0,0.0,0.0,0.166667,2,0,3000.0,300.71395,405.461471,0.0,6
C10874,4438.521324,1.0,591.84,109.16,482.68,564.365429,0.636364,0.181818,0.454545,0.272727,3,11,17000.0,5552.601399,1094.486286,0.0,11
C15128,100.208311,0.909091,0.0,0.0,0.0,182.143966,0.0,0.0,0.0,0.090909,1,0,3000.0,175.911508,145.244181,0.0,11
C18945,812.259343,1.0,354.63,280.1,74.53,830.160011,0.25,0.166667,0.083333,0.5,8,3,1200.0,201.90503,328.182068,0.0,12
C11197,2127.069602,1.0,743.38,743.38,0.0,0.0,0.166667,0.166667,0.0,0.0,0,18,2100.0,1047.607919,4500.377613,0.0,12
C18187,6.692421,0.545455,333.42,0.0,333.42,0.0,0.583333,0.0,0.583333,0.0,0,12,4000.0,318.713472,1.113027,0.0,12
